date,ret_eom,gvkey,iid,excntry,stock_ret,year,month,char_date,char_eom,me,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,bidaskhl_21d,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,ami_126d,ivol_capm_252d,betadown_252d,prc_highprc_252d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety
20050228,20050228,7984.0,01C,CAN,0.16081,2005,2,20050131,20050131,286.38533211,1.42863366,286.38533211,,0.00855806,-0.008521647,-0.154857007,-0.013779271,0.063853893,-0.035572333,-0.160436855,-0.230380496,3.0517175551,0.0905980917,-0.030645181,,,0.0805004964,0.3822236255,-0.120747388,-0.045628257,-0.52504469,1.3190069695,0.0501273161,-0.001560396,0.0,0.0,-0.000285149,0.0061148515,-0.0064,-0.037346535,0.021009901,-0.058356436,-0.044764356,0.0447643564,-0.005643564,0.0921425743,0.1313653937,0.2740435644,0.3928277228,0.3627220792,0.1372151422,0.1253412379,-0.007314851,0.0047207921,-0.012035644,-0.150360396,-1.737017889,-0.10559604,-1.21988379,0.785333436,0.4510257426,0.7203262935,0.9541419877,,0.1429742574,,,6.0,-0.069969361,0.1420220506,-0.018394119,-0.339644208,0.3452590164,0.0674186691,0.0413933667,-0.004747639,0.0009073605,,0.4691990142,0.3768360477,0.4452787283,0.2856817148,0.7463634874,-1.1729078,-0.524994275,0.2619860669,0.2961042073,0.4247632771,0.4244505495,0.9348034954,0.2369227723,0.2424673267,0.1524725652,1.5851591437,0.2085197569,0.7107421279,0.9743613829,0.6414385848,8.0,-3.774200173,3.9300150777,201.40826434,0.8303892562,0.1845131366,0.068702674,0.874719847,0.5518183146,0.2090112762,0.0839488557,0.6066121515,0.0757178285,0.2072410511,0.1617590833,0.0,-0.004129371,,0.5865287526,0.19566512,0.3010852172,16.198327823,0.5179134762,-0.156258974,-0.440346627,0.6270336045,0.6810760261,0.00230818,1641070.65100733,0.97558829,0.00473788,0.97345805,0.00245166,0.00189154,0.00872498,0.0229634,-0.04886627,-0.01983657,1.00983342,0.02181228,0.31490935,0.02295935,0.12018006,0.02903343,0.05138481,0.02944012,-0.13500495,0.02266108,0.0270645,2.17362393,0.57549524,0.24673596,0.9006255785,0.8887431697,469,1.209949922,1.5512059902,1.3093978608,-0.376439255
20050331,20050331,7984.0,01C,CAN,-0.142918,2005,3,20050228,20050228,332.45881679,1.6583720341,332.45881679,,0.0091871048,-0.00914516,0.1608098567,-0.175014907,-0.181886287,-0.101404122,-0.349392856,-0.276386526,2.0344595911,0.1271820477,-0.027588107,-0.041915614,,0.0805004964,0.3822236255,-0.120747388,-0.045628257,-0.52504469,1.3190069695,0.0501273161,-0.001560396,0.0,0.0,-0.000285149,0.0061148515,-0.0064,-0.037346535,0.021009901,-0.058356436,-0.044764356,0.0447643564,-0.005643564,0.0921425743,0.1313653937,0.2740435644,0.3928277228,0.3627220792,0.1372151422,0.1253412379,-0.007314851,0.0047207921,-0.012035644,-0.150360396,-1.737017889,-0.10559604,-1.21988379,0.785333436,0.4510257426,0.7203262935,0.9541419877,,0.1429742574,,,6.0,-0.069969361,0.1420220506,-0.018394119,-0.339644208,0.3452590164,0.0674186691,0.0413933667,-0.004747639,0.0009073605,,0.4691990142,0.3768360477,0.4452787283,0.2856817148,0.7463634874,-1.1729078,-0.524994275,0.2619860669,0.2961042073,0.4247632771,0.4244505495,0.9348034954,0.2369227723,0.2424673267,0.1524725652,1.5851591437,0.2085197569,0.7107421279,0.9743613829,0.6414385848,8.0,-3.774200173,3.9300150777,201.40826434,0.8303892562,0.1845131366,0.068702674,0.7594925664,0.4791270135,0.1814781168,0.0728902311,0.526702831,0.0657434813,0.1799410844,0.1404504788,0.0,-0.003585406,,0.5145141866,0.1716411679,0.2807762551,16.611303659,0.4050257707,-0.332013335,-2.58558519,0.6461751973,0.6631041261,0.00253979,1755163.99429634,0.91708502,0.00517068,0.9107208,0.00242875,0.00199237,0.00755773,0.02816277,0.4030551,0.5657904,3.26130077,0.02766282,0.50718199,0.03043568,0.54619269,0.06013495,0.13634056,0.04151947,1.547675,0.02082827,0.02758533,2.13913305,0.66804055,0.25168482,0.9547614311,1.7850893891,470,1.195663619,1.5585551957,1.3019448296,-0.420939719
20050429,20050430,7984.0,01C,CAN,-0.220939,2005,4,20050331,20050331,284.96139117,1.4213601574,284.96139117,,0.0008886359,-0.000888241,-0.142918399,-0.018949683,-0.125590793,0.0702089603,-0.329982955,-0.294477137,2.5578667732,-0.291850573,-0.014048819,0.0541775857,,0.0805004964,0.3822236255,-0.120747388,-0.045628257,-0.52504469,1.3190069695,0.0501273161,-0.001560396,0.0,0.0,-0.000285149,0.0061148515,-0.0064,-0.037346535,0.021009901,-0.058356436,-0.044764356,0.0447643564,-0.005643564,0.0921425743,0.1313653937,0.2740435644,0.3928277228,0.3627220792,0.1372151422,0.1253412379,-0.007314851,0.0047207921,-0.012035644,-0.150360396,-1.737017889,-0.10559604,-1.21988379,0.785333436,0.4510257426,0.7203262935,0.9541419877,,0.1429742574,,,6.0,-0.069969361,0.1420220506,-0.018394119,-0.339644208,0.3452590164,0.0674186691,0.0413933667,-0.004747639,0.0009073605,,0.4691990142,0.3768360477,0.4452787283,0.2856817148,0.7463634874,-1.1729078,-0.524994275,0.2619860669,0.2961042073,0.4247632771,0.4244505495,0.9348034954,0.2369227723,0.2424673267,0.1524725652,1.5851591437,0.2085197569,0.7107421279,0.9743613829,0.6414385848,8.0,-3.774200173,3.9300150777,201.40826434,0.8303892562,0.1845131366,0.068702674,0.8807313916,0.5556107064,0.210447714,0.0845257973,0.610781116,0.0762382021,0.2086653229,0.1628707786,0.0,-0.00415775,,0.5902455297,0.1969050313,0.2525858657,16.176782382,0.4199751379,-0.273086972,-0.743355265,0.6528799741,0.658414375,0.00402235,1712405.47192316,0.9477894,0.00511624,0.92598694,0.00259221,0.00247057,0.00878539,0.02490109,-0.06277394,0.01738815,0.64578601,0.02596744,-0.10533668,0.02196849,-0.82924428,0.03128912,0.05693417,0.02837062,0.20213512,0.02254256,0.02710267,2.13705677,0.57533543,0.26269576,0.9860400635,0.9438633141,471,1.1966901968,1.5587491536,1.3093978608,-0.424910897
20050531,20050531,7984.0,01C,CAN,-0.043524,2005,5,20050429,20050430,222.07542972,1.1073264642,222.07542972,,0.0012181302,-0.001217389,-0.22093886,-0.00509123,-0.170745988,-0.105468905,-0.189070471,0.0820472392,1.6232162286,-0.092941215,-0.025684968,0.1502414265,,0.1048164835,0.364806495,0.3565123122,-0.317576142,-0.538181591,0.920966217,0.1558458696,-0.022428776,0.0,0.0,-0.028967701,0.0032563924,-0.032224094,-0.031189666,0.0307378044,-0.061927471,-0.035898738,0.0358987381,0.0196727923,0.0967768438,0.1941339599,0.3064407109,0.4346611597,0.4068756048,0.1822087749,0.2023454911,-0.017432155,0.0043132261,-0.021745381,-0.162640367,-1.393441049,-0.126741628,-1.08587426,0.7479453411,0.4336005915,0.7407601974,1.0422982723,,0.1839450895,,,7.0,-0.1040202,0.1009464633,-0.02730336,-0.082875242,0.3707720736,0.0766212568,0.0483366337,0.0559851926,0.0363248915,,0.5433307585,0.6790065283,0.4528199577,0.1149002438,0.679967313,0.857811915,-0.336913962,0.3005330561,0.3385607486,0.4792849834,0.4802208139,1.0842745161,0.2793588791,0.2720207931,0.1601185253,1.5610957594,0.212369118,0.842280229,1.4102211616,0.6789884312,8.0,-3.949435862,3.8344728653,301.13488735,0.5584211388,0.3290860749,0.0793366127,1.2058110181,0.7724132301,0.2657070171,0.0439040015,0.8508460402,0.1407404684,0.3368540144,0.2579709069,0.0,-0.005200936,,0.7819849626,0.3142105682,0.3674712333,14.075411507,0.4970041592,-0.184747542,-0.558843213,0.6534652254,0.6763243549,0.00477657,1290326.16965528,0.9611066,0.00412238,0.96079724,0.00318509,0.00273605,0.00719352,0.03133752,-0.48539852,0.28514136,2.18254311,0.03069471,-0.45114563,0.03267523,-0.30709479,0.0337956,0.05693333,0.03430417,0.1525531,0.02952431,0.0277444,1.75359995,0.52253927,0.27052922,1.0770859657,1.0203420023,472,1.3723987252,1.624867436,1.4867652856,-0.473830311
20050630,20050630,7984.0,01C,CAN,0.025033,2005,6,20050531,20050531,212.43522029,1.0591310996,212.43522029,,0.0090351596,-0.008994587,-0.043524079,-0.332281031,-0.360558377,-0.365884348,-0.303503043,0.0781026167,1.2047287513,-0.025331509,-0.027338838,-0.068824269,,0.1048164835,0.364806495,0.3565123122,-0.317576142,-0.538181591,0.920966217,0.1558458696,-0.022428776,0.0,0.0,-0.028967701,0.0032563924,-0.032224094,-0.031189666,0.0307378044,-0.061927471,-0.035898738,0.0358987381,0.0196727923,0.0967768438,0.1941339599,0.3064407109,0.4346611597,0.4068756048,0.1822087749,0.2023454911,-0.017432155,0.0043132261,-0.021745381,-0.162640367,-1.393441049,-0.126741628,-1.08587426,0.7479453411,0.4336005915,0.7407601974,1.0422982723,,0.1839450895,,,7.0,-0.1040202,0.1009464633,-0.02730336,-0.082875242,0.3707720736,0.0766212568,0.0483366337,0.0559851926,0.0363248915,,0.5433307585,0.6790065283,0.4528199577,0.1149002438,0.679967313,0.857811915,-0.336913962,0.3005330561,0.3385607486,0.4792849834,0.4802208139,1.0842745161,0.2793588791,0.2720207931,0.1601185253,1.5610957594,0.212369118,0.842280229,1.4102211616,0.6789884312,8.0,-3.949435862,3.8344728653,301.13488735,0.5584211388,0.3290860749,0.0793366127,1.259496939,0.8068031262,0.2775370018,0.0458587247,0.8887279741,0.1470066092,0.3518516531,0.2694564593,0.0,-0.005432495,,0.8152744063,0.3275866503,0.3948511937,13.841314811,0.512417889,-0.146201693,-0.409018434,0.6394634635,0.6682518573,0.00328874,1069783.47862064,1.06292385,0.00374559,1.04597717,0.0034412,0.00304014,0.01171906,0.0402084,1.20025019,0.35418478,-0.53351894,0.04143679,1.19869084,0.04137525,1.13105073,0.05696244,0.08900551,0.04037207,1.1178287,0.03680698,0.0290055,0.63608677,0.49979623,0.27372817,1.1104852409,1.7460536358,473,1.368609594,1.631339853,1.4902637802,-0.46392983
20050729,20050731,7984.0,01C,CAN,0.119278,2005,7,20050630,20050630,217.78232546,1.0856438394,217.78232546,,0.001452741,-0.001451687,,-0.254846779,-0.373445235,-0.441552338,-0.316503433,0.1175356713,1.3548335428,0.0254047224,,-0.034584501,,0.1048164835,0.364806495,0.3565123122,-0.317576142,-0.538181591,0.920966217,0.1558458696,-0.022428776,0.0,0.0,-0.028967701,0.0032563924,-0.032224094,-0.031189666,0.0307378044,-0.061927471,-0.035898738,0.0358987381,0.0196727923,0.0967768438,0.1941339599,0.3064407109,0.4346611597,0.4068756048,0.1822087749,0.2023454911,-0.017432155,0.0043132261,-0.021745381,-0.162640367,-1.393441049,-0.126741628,-1.08587426,0.7479453411,0.4336005915,0.7407601974,1.0422982723,,0.1839450895,,,7.0,-0.1040202,0.1009464633,-0.02730336,-0.082875242,0.3707720736,0.0766212568,0.0483366337,0.0559851926,0.0363248915,,0.5433307585,0.6790065283,0.4528199577,0.1149002438,0.679967313,0.857811915,-0.336913962,0.3005330561,0.3385607486,0.4792849834,0.4802208139,1.0842745161,0.2793588791,0.2720207931,0.1601185253,1.5610957594,0.212369118,0.842280229,1.4102211616,0.6789884312,8.0,-3.949435862,3.8344728653,301.13488735,0.5584211388,0.3290860749,0.0793366127,1.2026008765,0.7703568915,0.2649996449,0.0437871191,0.8485808957,0.1403657855,0.3359572329,0.25728413,0.0,-0.005187089,,0.7799904748,0.31340916,0.4041967104,14.089409283,0.6147940163,-0.183754788,-0.316515855,0.6487746848,0.6668059504,0.00396386,1009694.05202034,1.12206998,0.00370802,1.05506397,0.00347897,0.00312393,0.00711227,0.02903085,-0.15734003,0.19553729,0.82523458,0.02992021,-0.08635892,0.03030328,-0.18910801,0.03762219,0.05703583,0.03227045,-0.49975178,0.04174023,0.02930075,0.57749678,0.51230739,0.27583043,1.1188528893,1.1553007928,474,1.3429121606,1.6278198201,1.5016199614,-0.494871792
20050831,20050831,7984.0,01C,CAN,-0.008101,2005,8,20050729,20050731,243.79062424,1.2151375892,243.79062424,,0.0015825392,-0.001581288,,,,,,0.063853893,1.5384579219,0.0990020695,,0.0769917666,,0.0558881654,0.4116637955,0.1466824957,-0.069889265,-0.600649079,0.9898768388,0.0164678591,-0.004153073,0.0,0.0,-0.025060287,0.0069900862,-0.032050373,-0.047248097,0.0205131842,-0.067761281,-0.060255016,0.060255016,0.0218016612,0.0856817501,0.1347454455,0.2747253613,0.4211783063,0.3515145522,0.1286983071,0.1543626132,-0.039938847,0.0008077608,-0.040746607,-0.186868567,-2.277529655,-0.126613551,-1.543149402,0.7082939818,0.5341544912,0.7893544986,1.1455868705,,0.1737592006,,,8.0,-0.105389944,0.1009464633,-0.043370037,0.0790045305,0.1665113474,-0.060588571,-0.038811566,-0.060856394,-0.038972473,,0.3255752945,0.9243239784,0.0725757556,0.1320649449,-0.445030229,-3.300452034,-0.365282649,0.2474048803,0.2900792578,0.406092023,0.4447171892,1.1392210536,0.2689173641,0.2343097388,0.1174081382,1.5685581315,0.2087802568,0.842280229,0.5734340351,0.640973768,7.0,-3.758803039,3.412906916,189.01028099,0.5878836933,0.6772666053,0.0610731008,1.0410080404,0.6636719542,0.2155251055,0.0346403806,0.7999774421,0.085413457,0.2799451382,0.2086298444,0.0,-0.000840885,,0.6749324189,0.2357517903,0.3680515735,15.791133837,0.6407803562,-0.436322758,-0.097939771,0.6895726154,0.5715956111,0.00687728,769342.41171257,1.03642401,0.00293489,0.9615271,0.00409066,0.00327098,0.0085154,0.02222656,2.06620434,-0.48232304,1.8632151,0.0203794,0.66807822,0.01949759,0.33820688,0.03367255,0.08037511,0.0230334,1.60260572,0.05288507,0.0291069,0.57735663,0.57341455,0.28069913,1.1394176643,1.0334085332,475,1.2864042856,1.5389909481,1.4763020611,-0.527837373
20050930,20050930,7984.0,01C,CAN,0.118566,2005,9,20050831,20050831,241.84452594,1.2052933733,241.84452594,,0.0017023528,-0.001700905,-0.008101318,0.1472966753,-0.267270815,-0.29830129,-0.304145806,-0.181886287,1.6011043701,0.0860755514,,0.1181029369,,0.0558881654,0.4116637955,0.1466824957,-0.069889265,-0.600649079,0.9898768388,0.0164678591,-0.004153073,0.0,0.0,-0.025060287,0.0069900862,-0.032050373,-0.047248097,0.0205131842,-0.067761281,-0.060255016,0.060255016,0.0218016612,0.0856817501,0.1347454455,0.2747253613,0.4211783063,0.3515145522,0.1286983071,0.1543626132,-0.039938847,0.0008077608,-0.040746607,-0.186868567,-2.277529655,-0.126613551,-1.543149402,0.7082939818,0.5341544912,0.7893544986,1.1455868705,,0.1737592006,,,8.0,-0.105389944,0.1009464633,-0.043370037,0.0790045305,0.1665113474,-0.060588571,-0.038811566,-0.060856394,-0.038972473,,0.3255752945,0.9243239784,0.0725757556,0.1320649449,-0.445030229,-3.300452034,-0.365282649,0.2474048803,0.2900792578,0.406092023,0.4447171892,1.1392210536,0.2689173641,0.2343097388,0.1174081382,1.5685581315,0.2087802568,0.842280229,0.5734340351,0.640973768,7.0,-3.758803039,3.412906916,189.01028099,0.5878836933,0.6772666053,0.0610731008,1.0493849262,0.6690124549,0.2172594141,0.0349191282,0.8064147792,0.0861007704,0.2821978283,0.2103086675,0.0,-0.000847652,,0.6801802806,0.2375848521,0.3406992143,15.762630119,0.6125276256,-0.436874197,-0.083212908,0.6879511021,0.4559916791,0.00437853,601884.28171999,0.8693505,0.00243505,0.86572818,0.00455391,0.0034129,0.01013329,0.02366491,0.14660708,0.05074832,-0.07004695,0.02283334,-0.13024821,0.02201551,-0.37816381,0.03155328,0.05228702,0.02401868,0.16293315,0.05514483,0.02894185,0.44259377,0.56876914,0.293546,1.1258716117,0.9943273486,476,1.291751419,1.5318826162,1.4758490084,-0.520783904
20051031,20051031,7984.0,01C,CAN,-0.038291,2005,10,20050930,20050930,270.56492374,1.3482002917,270.56492374,,0.0094513775,-0.009406993,0.1185660865,,-0.152014099,-0.286979386,-0.36448541,-0.125590793,1.853631219,-0.096247914,,0.0349735399,,0.0558881654,0.4116637955,0.1466824957,-0.069889265,-0.600649079,0.9898768388,0.0164678591,-0.004153073,0.0,0.0,-0.025060287,0.0069900862,-0.032050373,-0.047248097,0.0205131842,-0.067761281,-0.060255016,0.060255016,0.0218016612,0.0856817501,0.1347454455,0.2747253613,0.4211783063,0.3515145522,0.1286983071,0.1543626132,-0.039938847,0.0008077608,-0.040746607,-0.186868567,-2.277529655,-0.126613551,-1.543149402,0.7082939818,0.5341544912,0.7893544986,1.1455868705,,0.1737592006,,,8.0,-0.105389944,0.1009464633,-0.043370037,0.0790045305,0.1665113474,-0.060588571,-0.038811566,-0.060856394,-0.038972473,,0.3255752945,0.9243239784,0.0725757556,0.1320649449,-0.445030229,-3.300452034,-0.365282649,0.2474048803,0.2900792578,0.406092023,0.4447171892,1.1392210536,0.2689173641,0.2343097388,0.1174081382,1.5685581315,0.2087802568,0.842280229,0.5734340351,0.640973768,7.0,-3.758803039,3.412906916,189.01028099,0.5878836933,0.6772666053,0.0610731008,0.9230674521,0.5884815064,0.1911072751,0.0307158125,0.7093443188,0.0757365737,0.2482288661,0.1849932099,0.0,-0.000745618,,0.6007449497,0.2098383386,0.3209446473,16.192445908,0.6662898219,-0.500264089,-0.144163328,0.6758138023,0.4526553662,0.00169289,780206.6501185,1.70877968,0.0032707,1.64168049,0.00373941,0.00319654,0.01084897,0.03019541,0.25259988,0.34957755,2.06465029,0.02864096,-0.63191513,0.02499187,-0.2648576,0.04905139,0.07139246,0.03195012,0.43380171,0.05438084,0.0293371,0.44168079,0.63620587,0.30359837,1.1704367724,1.5270921888,477,1.2864042856,1.5209144829,1.5008049999,-0.523532104
20051130,20051130,7984.0,01C,CAN,0.174776,2005,11,20051031,20051031,260.2346011,1.2965766413,260.2346011,,0.0095670676,-0.009521593,-0.038290787,0.1095042271,0.2175273826,-0.056300905,-0.213429127,-0.170745988,1.6441594017,0.0103183032,,,,0.0014946575,0.2318702761,0.5768994291,0.4253723677,-0.30119221,0.9879080943,-0.136732979,0.017025178,0.0,0.0,0.0215024586,0.0136415215,0.0078609371,-0.01108425,0.0214490108,-0.032533261,-0.072898679,0.0728986794,0.0242077392,0.0393005739,0.0692752664,0.2367983949,0.3165918398,0.2903158717,0.053714581,0.078429147,-0.059059812,0.0010771786,-0.060136991,-0.118078511,-3.369705503,-0.045179831,-1.289334741,0.7255471147,0.6216800697,0.8208058952,1.1321377901,,0.1173096847,,,0.0,-0.024709201,0.1009464633,-0.020440533,0.1446697271,0.0893507221,-0.020655513,-0.013168471,-0.08461747,-0.050438343,,0.0398727226,0.5526781088,-0.285595003,0.3001945654,-0.700024395,-2.219532826,-0.344915032,0.1988100385,0.2371523274,0.3089267871,0.3170650361,1.3817904494,0.1531197066,0.1985133291,-0.078263984,1.5328980538,0.2208205681,0.842280229,0.7678083743,0.58121899,5.0,-3.175827374,2.966719696,69.005876937,0.619010923,0.4585265624,0.0691859025,0.9321877365,0.608121156,0.1765702189,0.0672155694,0.7645742279,0.0326649731,0.1427363127,0.0739302278,0.0,-0.001004133,,0.6328025422,0.1733967309,0.3210493445,16.772495301,0.6698069077,-0.338430866,0.3305833528,0.6732061617,0.4402619517,0.00543341,769327.92783886,1.74341401,0.0032183,1.67947736,0.00381758,0.00361447,0.00871805,0.0226625,0.25896013,0.20255873,1.14206549,0.02270679,0.09248075,0.02074045,0.11672844,0.02808425,0.04909,0.0241875,0.07642418,0.05358423,0.02923785,0.16879209,0.66934969,0.30442025,1.0772812714,0.891058341,478,0.9827675357,0.9676161032,1.5626614232,-0.683758983
