date,ret_eom,gvkey,iid,excntry,stock_ret,year,month,char_date,char_eom,me,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,bidaskhl_21d,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,ami_126d,ivol_capm_252d,betadown_252d,prc_highprc_252d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety
20050228,20050228,162384.0,01,USA,4.0,2005,2,20050131,20050131,0.27795,0.05,0.27795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.70925891,,,,,,,0.45685178,,,,,,,,,,,,,,,,,,,,13,,,,
20050331,20050331,162384.0,01,USA,0.0,2005,3,20050228,20050228,1.38975,0.25,1.38975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0098947,314.76923077,3.00147894,,,17.45577224,,0.52410747,,,,,,,,,,,,,,,,,,,,14,,,,
20050429,20050430,162384.0,01,USA,0.0,2005,4,20050331,20050331,1.38975,0.25,1.38975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00990598,235.17241379,3.51467998,3.199e-05,3.60237084,18.35452035,,0.48484848,,,,,,,,,,,,,,,,,,,,15,,,,
20050531,20050531,162384.0,01,USA,0.0,2005,5,20050429,20050430,1.38975,0.25,1.38975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0098919,189.44444444,3.9425588,2.408e-05,4.18328638,18.87083228,,0.48484848,,,,,,,,,,,,,,,,,,,,16,,,,
20050630,20050630,162384.0,01,USA,3.0,2005,6,20050531,20050531,1.38975,0.25,1.38975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.00988581,162.68,4.28456707,1.931e-05,4.69270162,19.32974483,19.21907046,0.48118575,,,,,,,,,,,,,,,,,,,,17,,,,
20050729,20050731,162384.0,01,USA,0.25,2005,7,20050630,20050630,5.134,1.0,5.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.05518978,91.28,5.86875617,1.541e-05,5.35323325,19.83375397,19.34090095,0.32684162,,,,,,,,,,,,,,,,,,,,18,,,,
20050831,20050831,162384.0,01,USA,0.06,2005,8,20050729,20050731,6.49875,1.25,6.49875,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.80935358,61.65,5.51544024,9.51e-06,5.50817087,20.16978593,19.04483522,0.13588538,,,,,,,,,,,,,,,,,,,,19,,,,
20050930,20050930,162384.0,01,USA,-0.245283,2005,9,20050831,20050831,6.822425,1.325,6.822425,,,,0.06,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09668481,64.21511628,5.26177436,9.79e-06,5.30087956,20.03303362,19.16955235,0.12223788,,,,,,,,,,,,,,,,,,,,20,,,,
20051031,20051031,162384.0,01,USA,-0.25,2005,10,20050930,20050930,5.149,1.0,5.149,,,,-0.245283019,0.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00933152,127.39648438,4.5000117,2.228e-05,4.86148869,19.53313516,19.05624414,0.10935033,,,,,,,,,,,,,,,,,,,,21,,,,
20051130,20051130,162384.0,01,USA,0.1,2005,11,20051031,20051031,3.86175,0.75,3.86175,,,,-0.25,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.00875896,232.42851563,4.65177834,5.605e-05,6.06975933,19.04080662,18.96306201,0.06685116,,,,,,,,,,,,,,,,,,,,22,,,,
