date,ret_eom,gvkey,iid,excntry,stock_ret,year,month,char_date,char_eom,me,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,bidaskhl_21d,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,ami_126d,ivol_capm_252d,betadown_252d,prc_highprc_252d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety
20050228,20050228,203470.0,01W,KOR,0.227518,2005,2,20050131,20050131,47.225487548,14.916452163,47.225487548,0.0256563437,0.0,0.0254790819,-0.008321798,0.2898293479,0.7276862526,0.3542209772,0.4595546198,-0.068154631,0.0729320312,0.1336840566,0.0301320685,0.2624275959,7.2354325e-06,0.102634712,0.0602298861,-0.310205898,0.0686198178,,,,0.0013483976,0.1143383607,0.0020403404,-0.001870128,-0.019493893,0.0176237653,-0.032075641,-0.01003359,-0.022042051,-0.053483468,0.1698621689,-0.003072826,0.1754648136,0.068954879,0.1587867048,0.1502482738,0.1574761711,0.074537278,0.0730468685,,,-0.062329272,-0.048061133,-1.451498228,0.1218010357,3.6785230713,0.522908309,0.6145515746,0.7517244744,1.0593430018,,0.1736622861,,,,-0.004871755,0.0186912905,-0.009142656,-0.490245115,,,,,,,-0.01120504,0.1217985438,0.2150026002,-0.023196319,,,,0.1126750883,0.1750837325,0.2602868782,0.1656689621,1.1846874825,0.0811725297,0.1021871406,-0.020866645,2.2511064487,,0.5319316159,,0.5373997107,8.0,-1.797300348,1.5432115273,100.86555286,-1.021621028,,,6.3455857297,2.8188741289,2.3794149677,1.2774260434,4.5481269631,0.2101112046,0.5150872458,0.370703131,,,,1.8851751011,0.2847237401,0.6499718867,2.1152789743,1.2922428873,-0.165889911,-0.169141466,0.5317219054,0.5018100211,0.00198773,442852.69021139,0.98647901,0.01103415,1.01147459,0.00093542,0.00118159,0.00520624,0.01641019,0.17207318,0.05513122,0.9883741,0.01715159,0.27745421,,,0.02157285,0.02586975,0.01742117,-0.02001511,0.07558606,0.02635091,1.08319972,0.92960575,0.49579212,0.9288501219,0.7169526083,253,,0.4547746051,,-0.644158442
20050331,20050331,203470.0,01W,KOR,-0.053564,2005,3,20050228,20050228,57.970133929,18.310212865,57.970133929,0.0209009926,0.0,0.0254790819,0.2275179556,0.0971486703,0.2780676824,0.5645389002,0.2767300492,-0.254816148,0.2716984615,-0.030744284,0.0536104539,-0.013694781,0.0291364238,0.102634712,0.0602298861,-0.310205898,0.0686198178,,,,0.0013483976,0.1143383607,0.0020403404,-0.001870128,-0.019493893,0.0176237653,-0.032075641,-0.01003359,-0.022042051,-0.053483468,0.1698621689,-0.003072826,0.1754648136,0.068954879,0.1587867048,0.1502482738,0.1574761711,0.074537278,0.0730468685,,,-0.062329272,-0.048061133,-1.451498228,0.1218010357,3.6785230713,0.522908309,0.6145515746,0.7517244744,1.0593430018,,0.1736622861,,,,-0.004871755,0.0186912905,-0.009142656,-0.490245115,,,,,,,-0.01120504,0.1217985438,0.2150026002,-0.023196319,,,,0.1126750883,0.1750837325,0.2602868782,0.1656689621,1.1846874825,0.0811725297,0.1021871406,-0.020866645,2.2511064487,,0.5319316159,,0.5373997107,8.0,-1.797300348,1.5432115273,100.86555286,-1.021621028,,,5.1694443251,2.2964015443,1.9383952445,1.0406577252,3.7051408838,0.1711675203,0.4196168728,0.3019940599,,,,1.7139492433,0.258862977,0.6372824321,5.3066103189,1.3315374018,-0.188917876,-0.632049624,0.5327621319,0.4097736436,0.00102487,478108.12803509,0.73883864,0.01112335,0.74130482,0.00100292,0.00122547,0.00935375,0.02091259,-0.75703645,-0.06184022,-0.51076712,0.02197803,-0.90686991,,,0.03415021,0.04357648,0.02100151,-0.69573227,0.04622289,0.02378198,1.1098514,1.0,0.49530164,0.8516127554,1.2253043093,254,,0.4715719101,,-0.606965572
20050429,20050430,203470.0,01W,KOR,-0.108679,2005,4,20050331,20050331,54.865014695,17.329442418,54.865014695,0.0220838971,0.0,0.0254790819,-0.05356412,0.2173027994,0.6905849391,0.906668192,0.6169201115,0.0306396732,0.1026784246,-0.019154949,0.0504823474,-0.054245061,0.0294462488,0.102634712,0.0602298861,-0.310205898,0.0686198178,,,,0.0013483976,0.1143383607,0.0020403404,-0.001870128,-0.019493893,0.0176237653,-0.032075641,-0.01003359,-0.022042051,-0.053483468,0.1698621689,-0.003072826,0.1754648136,0.068954879,0.1587867048,0.1502482738,0.1574761711,0.074537278,0.0730468685,,,-0.062329272,-0.048061133,-1.451498228,0.1218010357,3.6785230713,0.522908309,0.6145515746,0.7517244744,1.0593430018,,0.1736622861,,,,-0.004871755,0.0186912905,-0.009142656,-0.490245115,,,,,,,-0.01120504,0.1217985438,0.2150026002,-0.023196319,,,,0.1126750883,0.1750837325,0.2602868782,0.1656689621,1.1846874825,0.0811725297,0.1021871406,-0.020866645,2.2511064487,,0.5319316159,,0.5373997107,8.0,-1.797300348,1.5432115273,100.86555286,-1.021621028,,,5.4620122045,2.4263678014,2.048099915,1.0995543889,3.9148356099,0.1808548514,0.4433653476,0.3190855994,,,,1.7601504809,0.2658408907,0.6405428508,4.5127593071,1.3289439089,-0.116287826,-0.282367477,0.5321270386,0.4420940408,0.00109022,516465.419393,0.89350302,0.01066504,0.8225074,0.00112732,0.00139873,0.01060147,0.04402707,1.84136772,-0.62860084,3.53146732,0.04095761,1.47303466,,,0.05640785,0.14635914,0.04770892,1.14805907,0.05209431,0.02494274,1.20565192,0.76762664,0.50029049,0.8953891027,1.9657316528,255,,0.4715719101,,-0.60944172
20050531,20050531,203470.0,01W,KOR,0.03203,2005,5,20050429,20050430,48.902361912,15.446102941,48.902361912,0.0247765811,0.0,0.0254790819,-0.108678596,0.161767036,0.4860111607,0.9904656828,0.5601966954,-0.024895497,0.6231728798,-0.141631171,0.053478036,0.0632743189,0.0259109077,0.1027970335,0.2541716763,-0.542112949,0.1607629322,-0.189836378,0.5259884462,-0.766589839,0.0030611314,0.0377506419,0.0128721287,0.0277204045,0.0045235551,0.0231968494,0.0332604828,0.019555071,0.0137054118,-0.045002774,0.0956255441,0.0019262185,0.1072395032,0.0535072448,0.1532789887,0.1669277114,0.1421341395,0.0282038657,0.0633778247,,,-0.106918396,-0.069802986,-4.852288461,0.0258225578,1.7950306391,0.5149310093,0.7179966152,0.8549692448,1.1844718392,,0.151957683,,,,0.0406957042,0.0562348351,0.003676504,-0.684152213,,,,,,,0.0915693023,0.1080112432,-0.166131797,0.1714354586,,,-0.777560467,0.1071088586,0.169035614,0.1799735898,0.1840873849,1.7828954885,0.0841885668,0.097124725,0.0030160372,1.9605650051,,0.5200091097,,0.5388790708,7.0,-1.792089996,1.7239246598,41.642475288,-1.21398872,,,6.7579335928,3.4469316628,1.9936984716,0.9667785406,5.508535887,0.0972167978,0.568940744,0.5050961115,,,,2.3645907275,0.3337246306,0.7969836614,6.5466068604,1.2927647956,-0.128022397,-0.466669584,0.6584570994,0.4228314435,0.00371899,449901.95140355,0.96425475,0.00870233,0.83307679,0.00148147,0.00145087,0.00667506,0.01665018,-0.23903428,-0.26626372,1.66674356,0.01526983,-0.06737923,,,0.02156852,0.02979987,0.02501563,-0.62667435,0.06566446,0.02493771,1.27979228,0.68420205,0.49747139,0.9051909114,0.7466167382,256,,-0.107561191,,-0.48452597
20050630,20050630,203470.0,01W,KOR,0.064865,2005,6,20050531,20050531,50.468715735,15.940845147,50.468715735,0.0240076119,0.0,0.0254790819,0.0320302284,-0.156421443,0.1361060337,0.3234490865,0.6200922742,0.2231602083,0.2709587557,0.0072542251,0.0557303999,-0.037119967,0.0296314054,0.1027970335,0.2541716763,-0.542112949,0.1607629322,-0.189836378,0.5259884462,-0.766589839,0.0030611314,0.0377506419,0.0128721287,0.0277204045,0.0045235551,0.0231968494,0.0332604828,0.019555071,0.0137054118,-0.045002774,0.0956255441,0.0019262185,0.1072395032,0.0535072448,0.1532789887,0.1669277114,0.1421341395,0.0282038657,0.0633778247,,,-0.106918396,-0.069802986,-4.852288461,0.0258225578,1.7950306391,0.5149310093,0.7179966152,0.8549692448,1.1844718392,,0.151957683,,,,0.0406957042,0.0562348351,0.003676504,-0.684152213,,,,,,,0.0915693023,0.1080112432,-0.166131797,0.1714354586,,,-0.777560467,0.1071088586,0.169035614,0.1799735898,0.1840873849,1.7828954885,0.0841885668,0.097124725,0.0030160372,1.9605650051,,0.5200091097,,0.5388790708,7.0,-1.792089996,1.7239246598,41.642475288,-1.21398872,,,6.5481934604,3.3399522299,1.9318217787,0.9367734723,5.3375722292,0.0941995642,0.5512830229,0.489419881,,,,2.326698968,0.3283768073,0.8175990112,6.9434574164,1.2911470138,-0.161461088,-0.409085689,0.6599810782,0.4124164998,0.00504101,412132.47870551,1.07479655,0.00770734,0.95378712,0.00168787,0.00149135,0.00643585,0.01141685,-0.34217795,0.19085551,1.15989594,0.01128787,-0.1031813,,,0.02105347,0.0368686,0.0143278,0.45943485,0.08102447,0.02443648,1.20121577,0.7061172,0.49380276,0.9753429353,0.7872373896,257,,-0.10835281,,-0.456033689
20050729,20050731,203470.0,01W,KOR,0.263228,2005,7,20050630,20050630,53.742367588,16.974847627,53.742367588,0.022545217,0.0,0.0254790819,0.0648649724,-0.080129368,0.0597820771,0.4718208315,0.6599426025,0.4157344067,0.1449184311,-0.093408541,0.0701189011,-0.06258657,0.0294264301,0.1027970335,0.2541716763,-0.542112949,0.1607629322,-0.189836378,0.5259884462,-0.766589839,0.0030611314,0.0377506419,0.0128721287,0.0277204045,0.0045235551,0.0231968494,0.0332604828,0.019555071,0.0137054118,-0.045002774,0.0956255441,0.0019262185,0.1072395032,0.0535072448,0.1532789887,0.1669277114,0.1421341395,0.0282038657,0.0633778247,,,-0.106918396,-0.069802986,-4.852288461,0.0258225578,1.7950306391,0.5149310093,0.7179966152,0.8549692448,1.1844718392,,0.151957683,,,,0.0406957042,0.0562348351,0.003676504,-0.684152213,,,,,,,0.0915693023,0.1080112432,-0.166131797,0.1714354586,,,-0.777560467,0.1071088586,0.169035614,0.1799735898,0.1840873849,1.7828954885,0.0841885668,0.097124725,0.0030160372,1.9605650051,,0.5200091097,,0.5388790708,7.0,-1.792089996,1.7239246598,41.642475288,-1.21398872,,,6.1493181109,3.1365030463,1.8141471724,0.87971104,5.0124404197,0.0884615108,0.5177022788,0.459607456,,,,2.2513001043,0.3177354486,0.8166702712,7.6981718452,1.3070020164,-0.156286643,-0.63279461,0.6616785096,0.4008153666,0.00341106,347491.94699736,1.22288521,0.00631745,1.05866758,0.00209342,0.00146647,0.00557679,0.01433209,0.6179996,-0.1046967,1.59736084,0.01103684,1.07222431,,,0.0315432,0.0462727,0.0198279,0.50072443,0.09216002,0.02455053,1.3559967,0.75191947,0.48973608,1.0710914632,1.1796865698,258,,-0.121547477,,-0.482832269
20050831,20050831,203470.0,01W,KOR,-0.004351,2005,8,20050729,20050731,67.888861552,21.443102196,67.888861552,0.0178473068,0.0,0.0254790819,0.2632279633,0.0989728407,0.1379949764,0.4556044227,0.9497368039,0.7276862526,0.2163070457,0.3405462171,0.063089969,0.0622522871,0.0192867727,0.1027970335,0.2541716763,-0.542112949,0.1607629322,-0.189836378,0.5259884462,-0.766589839,0.0030611314,0.0377506419,0.0128721287,0.0277204045,0.0045235551,0.0231968494,0.0332604828,0.019555071,0.0137054118,-0.045002774,0.0956255441,0.0019262185,0.1072395032,0.0535072448,0.1532789887,0.1669277114,0.1421341395,0.0282038657,0.0633778247,,,-0.106918396,-0.069802986,-4.852288461,0.0258225578,1.7950306391,0.5149310093,0.7179966152,0.8549692448,1.1844718392,,0.151957683,,,,0.0406957042,0.0562348351,0.003676504,-0.684152213,,,,,,,0.0915693023,0.1080112432,-0.166131797,0.1714354586,,,-0.777560467,0.1071088586,0.169035614,0.1799735898,0.1840873849,1.7828954885,0.0841885668,0.097124725,0.0030160372,1.9605650051,,0.5200091097,,0.5388790708,7.0,-1.792089996,1.7239246598,41.642475288,-1.21398872,,,4.8679401418,2.4829271813,1.4361201819,0.6963992767,3.9679618923,0.0700281448,0.409824904,0.3638357204,,,,1.9747616025,0.2787064073,0.8288821147,10.122674746,1.3349532876,-0.276635436,-0.83024401,0.6725310466,0.4074383049,0.00121666,400150.37006263,1.26442965,0.0068641,1.13387801,0.00190513,0.00133443,0.01101409,0.0246385,1.16976015,-0.37248235,1.32668505,0.02511021,0.82831411,,,0.04921853,0.06745818,0.02465212,1.15106999,0.08944697,0.02550727,1.38936893,0.9498457,0.49226408,1.1217344156,1.8013934384,259,,-0.136434421,,-0.522518188
20050930,20050930,203470.0,01W,KOR,0.324435,2005,9,20050831,20050831,67.593493818,21.349808534,67.593493818,0.0179252953,0.0,0.0254790819,-0.004350754,0.3451672103,0.1711006505,0.5772028633,0.8372824602,0.2780676824,0.6368389426,-0.072006977,0.0692405347,-0.198104006,0.0507830092,0.1027970335,0.2541716763,-0.542112949,0.1607629322,-0.189836378,0.5259884462,-0.766589839,0.0030611314,0.0377506419,0.0128721287,0.0277204045,0.0045235551,0.0231968494,0.0332604828,0.019555071,0.0137054118,-0.045002774,0.0956255441,0.0019262185,0.1072395032,0.0535072448,0.1532789887,0.1669277114,0.1421341395,0.0282038657,0.0633778247,,,-0.106918396,-0.069802986,-4.852288461,0.0258225578,1.7950306391,0.5149310093,0.7179966152,0.8549692448,1.1844718392,,0.151957683,,,,0.0406957042,0.0562348351,0.003676504,-0.684152213,,,,,,,0.0915693023,0.1080112432,-0.166131797,0.1714354586,,,-0.777560467,0.1071088586,0.169035614,0.1799735898,0.1840873849,1.7828954885,0.0841885668,0.097124725,0.0030160372,1.9605650051,,0.5200091097,,0.5388790708,7.0,-1.792089996,1.7239246598,41.642475288,-1.21398872,,,4.8892118999,2.4937769915,1.4423956906,0.6994423784,3.9853009562,0.0703341514,0.4116157429,0.3654255972,,,,1.9798392949,0.2794230433,0.7898450223,10.082426326,1.3341252091,-0.295241924,0.1100854881,0.6742989672,0.3723651659,0.00369165,333638.70888724,1.42141195,0.00549503,1.28726268,0.00236275,0.00154873,0.00882635,0.01344498,0.17600992,-0.16743711,0.72873531,0.01145987,-0.04345209,,,0.01896649,0.02821343,0.01524536,-0.14132989,0.09588397,0.02354128,1.36824883,0.94571316,0.49134518,1.0206546745,0.7486965854,260,,-0.132851513,,-0.409090613
20051031,20051031,203470.0,01W,KOR,-0.054874,2005,10,20050930,20050930,89.523211305,28.276440715,89.523211305,0.0135342926,0.0,0.0254790819,0.3244353302,0.2577319692,0.2319962766,0.4193817345,0.9712313029,0.6905849391,0.5871742901,0.0767282818,0.0917593573,-0.012963999,0.0332921437,0.1027970335,0.2541716763,-0.542112949,0.1607629322,-0.189836378,0.5259884462,-0.766589839,0.0030611314,0.0377506419,0.0128721287,0.0277204045,0.0045235551,0.0231968494,0.0332604828,0.019555071,0.0137054118,-0.045002774,0.0956255441,0.0019262185,0.1072395032,0.0535072448,0.1532789887,0.1669277114,0.1421341395,0.0282038657,0.0633778247,,,-0.106918396,-0.069802986,-4.852288461,0.0258225578,1.7950306391,0.5149310093,0.7179966152,0.8549692448,1.1844718392,,0.151957683,,,,0.0406957042,0.0562348351,0.003676504,-0.684152213,,,,,,,0.0915693023,0.1080112432,-0.166131797,0.1714354586,,,-0.777560467,0.1071088586,0.169035614,0.1799735898,0.1840873849,1.7828954885,0.0841885668,0.097124725,0.0030160372,1.9605650051,,0.5200091097,,0.5388790708,7.0,-1.792089996,1.7239246598,41.642475288,-1.21398872,,,3.6915444555,1.8828982696,1.0890646434,0.5281061011,3.0090566639,0.05310501,0.3107858372,0.2759104872,,,,1.6624634907,0.2346304618,0.8005317206,12.348540043,1.3881100536,-0.130217738,0.1634260506,0.6764569454,0.4180765539,0.00356351,258189.3335171,1.29954779,0.00414273,1.21284434,0.00310951,0.00180667,0.01252134,0.03305354,0.64614029,-0.48774225,-4.24196041,0.03222111,0.68512405,,,0.06127984,0.08838709,0.03316702,0.72214598,0.09726005,0.02415595,1.44731765,0.96806744,0.49078394,1.0366217291,2.3792613457,261,,-0.132343962,,-0.385094721
20051130,20051130,203470.0,01W,KOR,-0.008755,2005,11,20051031,20051031,84.610674974,26.724786789,84.610674974,0.0143201001,0.0,0.0254790819,-0.054874443,0.3186730379,0.8306520954,0.8956545703,1.4247235125,0.4860111607,1.2425348986,0.1658362111,0.0716947524,0.1501496285,0.0256150897,0.1027970335,0.2541716763,-0.542112949,0.1607629322,-0.189836378,0.5259884462,-0.766589839,0.0030611314,0.0377506419,0.0128721287,0.0277204045,0.0045235551,0.0231968494,0.0332604828,0.019555071,0.0137054118,-0.045002774,0.0956255441,0.0019262185,0.1072395032,0.0535072448,0.1532789887,0.1669277114,0.1421341395,0.0282038657,0.0633778247,,,-0.106918396,-0.069802986,-4.852288461,0.0258225578,1.7950306391,0.5149310093,0.7179966152,0.8549692448,1.1844718392,,0.151957683,,,,0.0406957042,0.0562348351,0.003676504,-0.684152213,,,,,,,0.0915693023,0.1080112432,-0.166131797,0.1714354586,,,-0.777560467,0.1071088586,0.169035614,0.1799735898,0.1840873849,1.7828954885,0.0841885668,0.097124725,0.0030160372,1.9605650051,,0.5200091097,,0.5388790708,7.0,-1.792089996,1.7239246598,41.642475288,-1.21398872,,,3.9058772954,1.9922202454,1.1522962585,0.5587681944,3.1837639356,0.0561883123,0.3288302118,0.2919299823,,,,1.7243863777,0.2433698992,0.7899627214,11.942999598,1.3831061942,-0.043244311,0.3941349526,0.6815029836,0.4418534066,0.00478431,262478.84166461,1.29043718,0.00399926,1.27080461,0.00323666,0.00216247,0.01325693,0.02083393,0.21730975,-0.52849185,1.06291963,0.02198012,0.35252316,,,0.02111385,0.04181185,0.02223549,-0.73853938,0.09657094,0.02392502,1.45628688,0.89995223,0.49035677,1.0262918674,0.8256937975,262,,-0.171392355,,-0.389166125
