date,ret_eom,gvkey,iid,excntry,stock_ret,year,month,char_date,char_eom,me,prc,market_equity,div12m_me,chcsho_12m,eqnpo_12m,ret_1_0,ret_3_1,ret_6_1,ret_9_1,ret_12_1,ret_12_7,ret_60_12,seas_1_1an,seas_1_1na,seas_2_5an,seas_2_5na,at_gr1,sale_gr1,capx_gr1,inv_gr1,debt_gr3,sale_gr3,capx_gr3,inv_gr1a,lti_gr1a,sti_gr1a,coa_gr1a,col_gr1a,cowc_gr1a,ncoa_gr1a,ncol_gr1a,nncoa_gr1a,fnl_gr1a,nfna_gr1a,tax_gr1a,be_gr1a,ebit_sale,gp_at,cop_at,ope_be,ni_be,ebit_bev,netis_at,eqnetis_at,dbnetis_at,oaccruals_at,oaccruals_ni,taccruals_at,taccruals_ni,noa_at,opex_at,at_turnover,sale_bev,rd_sale,cash_at,sale_emp_gr1,emp_gr1,ni_inc8q,noa_gr1a,ppeinv_gr1a,lnoa_gr1a,capx_gr2,saleq_gr1,niq_be,niq_at,niq_be_chg1,niq_at_chg1,rd5_at,dsale_dinv,dsale_drec,dgp_dsale,dsale_dsga,saleq_su,niq_su,capex_abn,op_atl1,gp_atl1,ope_bel1,cop_atl1,pi_nix,ocf_at,op_at,ocf_at_chg1,at_be,ocfq_saleq_std,tangibility,earnings_variability,aliq_at,f_score,o_score,z_score,intrinsic_value,kz_index,ni_ar1,ni_ivol,at_me,be_me,debt_me,netdebt_me,sale_me,ni_me,ocf_me,fcf_me,eqpo_me,eqnpo_me,rd_me,bev_mev,ebitda_mev,aliq_mat,eq_dur,beta_60m,resff3_12_1,resff3_6_1,mispricing_mgmt,mispricing_perf,zero_trades_21d,dolvol_126d,dolvol_var_126d,turnover_126d,turnover_var_126d,zero_trades_126d,zero_trades_252d,bidaskhl_21d,ivol_capm_21d,iskew_capm_21d,coskew_21d,beta_dimson_21d,ivol_ff3_21d,iskew_ff3_21d,ivol_hxz4_21d,iskew_hxz4_21d,rmax5_21d,rmax1_21d,rvol_21d,rskew_21d,ami_126d,ivol_capm_252d,betadown_252d,prc_highprc_252d,corr_1260d,betabab_1260d,rmax5_rvol_21d,age,qmj,qmj_prof,qmj_growth,qmj_safety
20050228,20050228,1981.0,01,USA,-0.072422,2005,2,20050131,20050131,924.59760265,28.030000687,924.59760265,0.0203105214,0.0060387947,0.0173644817,0.0181620046,0.1813913882,0.2169488027,0.2405106801,0.2115812239,0.0160407218,0.5055838644,-0.000429932,0.02075916,0.0093936455,0.0099410326,0.0759952676,0.1470939046,0.0135812332,0.0773222116,0.1073181117,0.0901355233,-0.319650953,0.0171836174,0.0,0.019915925,0.0628418663,0.0127835158,0.0500583505,-0.011233457,0.027609298,-0.038842755,-0.002500734,0.0025007343,0.0079944111,0.0603451013,0.0801047087,0.3661432325,0.1586517469,0.2186575706,0.1017208376,0.1555018925,0.0242690314,0.0045747561,0.0196942753,-0.019670459,-0.317731542,-0.017169724,-0.277337864,0.6950921058,1.1150536269,1.2999409537,1.9412328565,0.0390672455,0.1026789613,0.0014484259,0.0199480803,8.0,0.0120679272,0.0463539954,-0.004937672,-0.066425848,0.2147847548,0.0292256149,0.0176732513,0.0070486526,0.0044108838,0.1457982409,0.0964201585,-0.01214618,-0.02860691,0.0803688251,2.1142102945,1.3557731601,-0.249349885,0.1495432083,0.3939683855,0.2427239292,0.1707085289,1.5872150803,0.0815795114,0.1389812882,-0.051857467,1.6430688759,0.0464413883,0.7680141629,1.4721921068,0.6623137277,6.0,-2.77510098,5.1792367359,272.20438036,-4.857895373,0.526006639,0.0215921649,0.5449419278,0.3316610373,0.1125105664,0.0565564953,0.6833762041,0.0337368385,0.0444560962,0.0293619624,0.0199329957,0.0174400193,0.0237205893,0.3331881096,0.0716826137,0.3248661958,17.476032682,0.3192559968,0.2376017107,0.3666174583,0.5210923052,0.6495296322,0.0023744,3354515.46579797,0.63761431,0.00399479,0.58918779,0.00289566,0.00365299,0.00264384,0.01246217,1.55623245,0.1238771,1.51597047,0.01187739,2.70728658,0.01221161,2.62176084,0.01999428,0.03840305,0.01426247,1.09471889,0.00489012,0.01318835,1.43803298,0.97495655,0.54820001,1.2526828506,1.2126301327,361,-0.298857387,0.4813919307,-1.121716733,0.2387898297
20050331,20050331,1981.0,01,USA,-0.001538,2005,3,20050228,20050228,857.636,26.0,857.636,0.021896305,0.0060387947,0.0173644788,-0.07242243,0.0218537009,0.2770038571,0.2314102886,0.2341165544,-0.003982466,0.5862844886,-0.005591418,0.0146836134,0.0450245137,0.0078575927,0.0759952676,0.1470939046,0.0135812332,0.0773222116,0.1073181117,0.0901355233,-0.319650953,0.0171836174,0.0,0.019915925,0.0628418663,0.0127835158,0.0500583505,-0.011233457,0.027609298,-0.038842755,-0.002500734,0.0025007343,0.0079944111,0.0603451013,0.0801047087,0.3661432325,0.1586517469,0.2186575706,0.1017208376,0.1555018925,0.0242690314,0.0045747561,0.0196942753,-0.019670459,-0.317731542,-0.017169724,-0.277337864,0.6950921058,1.1150536269,1.2999409537,1.9412328565,0.0390672455,0.1026789613,0.0014484259,0.0199480803,8.0,0.0120679272,0.0463539954,-0.004937672,-0.066425848,0.2147847548,0.0292256149,0.0176732513,0.0070486526,0.0044108838,0.1457982409,0.0964201585,-0.01214618,-0.02860691,0.0803688251,2.1142102945,1.3557731601,-0.249349885,0.1495432083,0.3939683855,0.2427239292,0.1707085289,1.5872150803,0.0815795114,0.1389812882,-0.051857467,1.6430688759,0.0464413883,0.7680141629,1.4721921068,0.6623137277,6.0,-2.77510098,5.1792367359,272.20438036,-4.857895373,0.526006639,0.0215921649,0.5874893311,0.3575561194,0.1212950482,0.060972254,0.7367321334,0.0363709079,0.0479270926,0.0316544548,0.0214893032,0.0188016828,0.0255726206,0.357707423,0.0769577373,0.3249778119,17.331020313,0.3201343001,0.35877564,0.6273810471,0.5199116656,0.6667021621,0.00461538,3526445.45694936,0.5819883,0.00413157,0.55464735,0.00301062,0.0036212,0.00516112,0.00811548,-0.11404023,-0.36645274,1.26814474,0.00841226,0.4429338,0.00787536,0.56301799,0.01038198,0.01700041,0.01319208,-0.59241982,0.00416769,0.0130545,1.53591746,0.90434783,0.55255571,1.2449958544,0.6366980616,362,-0.298969395,0.4834015972,-1.128679881,0.2438716976
20050429,20050430,1981.0,01,USA,-0.035258,2005,4,20050331,20050331,856.45321228,25.809999466,856.45321228,0.0223561656,0.0078359909,0.0153007712,-0.001538482,-0.055575762,0.1048885733,0.1261819038,0.151175538,-0.0281503,0.4043395498,-0.017406425,0.0161261536,0.0266451314,0.0066003852,0.0759952676,0.1470939046,0.0135812332,0.0773222116,0.1073181117,0.0901355233,-0.319650953,0.0171836174,0.0,0.019915925,0.0628418663,0.0127835158,0.0500583505,-0.011233457,0.027609298,-0.038842755,-0.002500734,0.0025007343,0.0079944111,0.0603451013,0.0801047087,0.3661432325,0.1586517469,0.2186575706,0.1017208376,0.1555018925,0.0242690314,0.0045747561,0.0196942753,-0.019670459,-0.317731542,-0.017169724,-0.277337864,0.6950921058,1.1150536269,1.2999409537,1.9412328565,0.0390672455,0.1026789613,0.0014484259,0.0199480803,8.0,0.0120679272,0.0463539954,-0.004937672,-0.066425848,0.2147847548,0.0292256149,0.0176732513,0.0070486526,0.0044108838,0.1457982409,0.0964201585,-0.01214618,-0.02860691,0.0803688251,2.1142102945,1.3557731601,-0.249349885,0.1495432083,0.3939683855,0.2427239292,0.1707085289,1.5872150803,0.0815795114,0.1389812882,-0.051857467,1.6430688759,0.0464413883,0.7680141629,1.4721921068,0.6623137277,6.0,-2.77510098,5.1792367359,272.20438036,-4.857895373,0.526006639,0.0215921649,0.5883006716,0.3580499152,0.1214625604,0.0610564585,0.7377495827,0.0364211373,0.0479932814,0.0316981706,0.0215189805,0.0188276485,0.0256079371,0.3581730012,0.0770579025,0.3269320322,17.328255059,0.2871275322,0.2125977562,0.1746080154,0.5119094147,0.6420168187,0.00482058,3523896.78870087,0.57879063,0.00408302,0.56453004,0.00318029,0.00363852,0.00605883,0.00989445,-0.64952653,0.30174552,0.61375761,0.01015668,-0.55335057,0.0100014,0.04109318,0.01648198,0.02007875,0.01195468,0.1602508,0.00385803,0.01276754,1.70358839,0.89773911,0.55508802,1.2997079851,1.0269046048,363,-0.306310588,0.4806918219,-1.134198913,0.2444393257
20050531,20050531,1981.0,1.0,USA,0.01004,2005,5,20050429,20050430,826.25668734,24.899999619,826.25668734,0.023173198,0.0078359909,0.0153007698,-0.035257649,-0.073849491,0.1140181244,0.1475477442,0.1697659175,0.0603497786,0.3427261289,0.0256864447,0.0105857815,0.0129274415,0.0068227187,0.051587676,0.1546230702,0.196603225,0.083675963,0.0356517064,0.1627671273,-0.064769382,0.0187056384,0.0,-0.008497488,0.0512301619,0.0146104155,0.0366197464,0.0034950953,-0.007159662,0.0106547572,-0.002510168,-0.00598732,0.0054350427,0.0369566951,0.0827297341,0.3722406093,0.1880273547,0.2221963027,0.1120104814,0.1562527317,-0.045210942,0.008776617,-0.053987559,0.0076979823,0.1101506333,0.0017106627,0.0244779185,0.719552159,1.1472745035,1.3248544989,1.8887130894,0.0391857389,0.0886155196,0.1189005945,0.031424767,8.0,0.0497132853,0.0556069231,0.002102165,0.7153277757,0.1115851411,0.033943904,0.0206588443,0.0102333251,0.0066710681,0.1419558976,0.0881913593,-0.044893543,-0.041971813,0.1009350597,0.3690673747,1.9259436879,0.0359509194,0.2058223522,0.3914436372,0.2361862642,0.1977272489,1.4928677394,0.0621879735,0.1957253369,-0.06941983,1.6027609567,0.0481688013,0.7594618092,0.9384107381,0.6393375685,5.0,-2.825709109,5.7740816692,300.45420604,-4.899972359,0.3670514116,0.0188974679,0.607026857,0.3787382357,0.1258991323,0.072107132,0.7844959199,0.0424226521,0.0377497701,0.0158352727,0.0230582097,0.0177305675,0.0307410523,0.387423994,0.0821461599,0.3293028375,17.17807912,0.3089767482,0.2312268369,0.243488899,0.4869042405,0.6506785622,0.00298499,3567905.71387177,0.5526918,0.00408379,0.53972737,0.00321458,0.00350074,0.0046512,0.01502902,0.9937684,-0.08064845,2.50735086,0.01569826,0.89118723,0.01550324,0.62536502,0.02514641,0.04351237,0.01880289,0.73983709,0.00387575,0.0128213,1.80597057,0.86608694,0.58011417,1.3424180101,1.5606088783,364,-0.442504582,0.3171477337,-1.13478527,0.2083943302
20050630,20050630,1981.0,01,USA,-0.027038,2005,6,20050531,20050531,834.47698734,25.149999619,834.47698734,0.0229449225,0.0076836639,0.0154519244,0.0100401612,-0.036741887,-0.086977172,0.1409986295,0.1002609302,0.0237457007,0.3634438295,0.0142487278,0.0102031845,-0.00264691,0.0085927833,0.051587676,0.1546230702,0.196603225,0.083675963,0.0356517064,0.1627671273,-0.064769382,0.0187056384,0.0,-0.008497488,0.0512301619,0.0146104155,0.0366197464,0.0034950953,-0.007159662,0.0106547572,-0.002510168,-0.00598732,0.0054350427,0.0369566951,0.0827297341,0.3722406093,0.1880273547,0.2221963027,0.1120104814,0.1562527317,-0.045210942,0.008776617,-0.053987559,0.0076979823,0.1101506333,0.0017106627,0.0244779185,0.719552159,1.1472745035,1.3248544989,1.8887130894,0.0391857389,0.0886155196,0.1189005945,0.031424767,8.0,0.0497132853,0.0556069231,0.002102165,0.7153277757,0.1115851411,0.033943904,0.0206588443,0.0102333251,0.0066710681,0.1419558976,0.0881913593,-0.044893543,-0.041971813,0.1009350597,0.3690673747,1.9259436879,0.0359509194,0.2058223522,0.3914436372,0.2361862642,0.1977272489,1.4928677394,0.0621879735,0.1957253369,-0.06941983,1.6027609567,0.0481688013,0.7594618092,0.9384107381,0.6393375685,5.0,-2.825709109,5.7740816692,300.45420604,-4.899972359,0.3670514116,0.0188974679,0.601047132,0.3750073456,0.12465892,0.0713968161,0.7767679754,0.0420047533,0.0373779031,0.015679282,0.022831067,0.0175559065,0.030438227,0.3838618664,0.081390876,0.3226331921,17.199310186,0.3098765018,0.23826649,-0.136818349,0.4840906889,0.642121336,0.00393541,3105007.00978394,0.52095163,0.00356444,0.50470165,0.00357304,0.00350783,0.00454229,0.01193865,1.29738844,0.59180413,1.44643606,0.01188834,1.25582208,0.01183869,0.92844918,0.02024011,0.03911977,0.01474566,0.65392363,0.00421385,0.01275087,1.60853997,0.8747826,0.58812882,1.3679765013,1.2681390472,365,-0.460175863,0.3130752889,-1.136494935,0.188421167
20050729,20050731,1981.0,1.0,USA,0.029605,2005,7,20050630,20050630,806.93758987,24.319999695,806.93758987,0.0241830715,0.0076836639,0.0156229297,-0.027037771,-0.02557148,-0.081141912,0.074978554,0.0956954609,0.1881453811,0.3832400338,-0.020128531,0.0095750718,-0.026849933,0.0111229534,0.051587676,0.1546230702,0.196603225,0.083675963,0.0356517064,0.1627671273,-0.064769382,0.0187056384,0.0,-0.008497488,0.0512301619,0.0146104155,0.0366197464,0.0034950953,-0.007159662,0.0106547572,-0.002510168,-0.00598732,0.0054350427,0.0369566951,0.0827297341,0.3722406093,0.1880273547,0.2221963027,0.1120104814,0.1562527317,-0.045210942,0.008776617,-0.053987559,0.0076979823,0.1101506333,0.0017106627,0.0244779185,0.719552159,1.1472745035,1.3248544989,1.8887130894,0.0391857389,0.0886155196,0.1189005945,0.031424767,8.0,0.0497132853,0.0556069231,0.002102165,0.7153277757,0.1115851411,0.033943904,0.0206588443,0.0102333251,0.0066710681,0.1419558976,0.0881913593,-0.044893543,-0.041971813,0.1009350597,0.3690673747,1.9259436879,0.0359509194,0.2058223522,0.3914436372,0.2361862642,0.1977272489,1.4928677394,0.0621879735,0.1957253369,-0.06941983,1.6027609567,0.0481688013,0.7594618092,0.9384107381,0.6393375685,5.0,-2.825709109,5.7740816692,300.45420604,-4.899972359,0.3670514116,0.0188974679,0.6215598409,0.3878057038,0.1289133154,0.0738334671,0.8032777356,0.0434383036,0.0386535469,0.016214389,0.0236102522,0.0181550596,0.0314770316,0.3960616612,0.083977619,0.3205116473,17.126479632,0.3163626128,0.2366478139,-0.142403958,0.4819494576,0.6369344753,0.00368556,2856124.18735504,0.50864771,0.00334462,0.5022018,0.00376505,0.00353957,0.00641612,0.01101472,-1.01846073,0.01815655,0.67200645,0.01132426,-1.07247657,0.01153101,-1.18551836,0.01481955,0.02434079,0.01523743,-1.0166088,0.00461653,0.01271724,1.51500576,0.84591303,0.59495693,1.4115421228,0.9248486489,366,-0.478236853,0.3057245173,-1.140291129,0.1670564752
20050831,20050831,1981.0,01,USA,-0.014776,2005,8,20050729,20050731,830.82723038,25.040000916,830.82723038,0.0234877104,0.0076836639,0.0156229299,0.0296053141,-0.017269074,-0.121933239,0.0561806924,0.0879695262,0.2169488027,0.373838225,-0.029720211,0.0149683014,0.0148580777,0.0071789135,0.0320144025,0.1545408053,0.3845849281,0.107248812,-0.045134108,0.2314178257,0.1036768187,0.024321267,0.0,-0.008497488,0.0428911646,-0.006094705,0.0489858697,0.0093831865,-0.004816623,0.0141998095,-0.002492657,0.002492657,0.0058208304,0.039608637,0.0846557192,0.3763673891,0.1313904104,0.2271692849,0.1156299614,0.1598627593,-0.130592601,0.0084782091,-0.139070811,0.0180836707,0.2487306873,0.0205763277,0.2830157777,0.7223056268,1.1722056839,1.3425028399,1.8883869962,0.0391857389,0.0775402874,0.1189005945,0.031424767,8.0,0.0652085309,0.0649770916,0.0044863118,0.8885688569,0.1162979394,0.0288302683,0.0179878778,0.0035584433,0.0023889219,0.1419558976,0.0792680243,0.0420829149,-0.051746904,0.1185515867,0.45479582,0.1196904525,0.1597254965,0.1542594045,0.3884165661,0.2424417998,0.1355967959,1.497051919,0.0546201477,0.1494740811,-0.0574702,1.5904248771,0.0483612704,0.7616261789,0.6898297239,0.624802611,5.0,-2.858343048,5.7030978327,315.13103065,-5.094237782,0.2955831001,0.0166014997,0.6064798812,0.3813319887,0.1252065366,0.0781799123,0.8015721869,0.0440934031,0.0331260207,0.0078716727,0.0238473166,0.0182324308,0.0305719397,0.393695456,0.0840796809,0.3228974851,17.131451159,0.3159154607,0.0752302685,-0.80119658,0.4705492096,0.6104447396,0.00338849,2546204.75502014,0.42995175,0.00301436,0.43855468,0.0040161,0.00352024,0.00539043,0.01272574,-1.55059923,0.36638317,2.71395332,0.01301981,-1.36033681,0.01281034,-1.6621012,0.02097613,0.03109857,0.01589976,-0.48640647,0.00490567,0.01224126,1.13727767,0.87095655,0.59871283,1.3666463896,1.3769576269,367,-0.542579603,0.2450842759,-1.237992998,0.2743449213
20050930,20050930,1981.0,01,USA,0.034049,2005,9,20050831,20050831,818.89598253,24.670000076,818.89598253,0.0238299245,0.0076498088,0.0156565279,-0.014776391,0.001767081,-0.025351375,-0.076180692,0.15449092,0.2770038571,0.2481025259,0.0720720291,0.0070729905,-0.035490451,0.0095345202,0.0320144025,0.1545408053,0.3845849281,0.107248812,-0.045134108,0.2314178257,0.1036768187,0.024321267,0.0,-0.008497488,0.0428911646,-0.006094705,0.0489858697,0.0093831865,-0.004816623,0.0141998095,-0.002492657,0.002492657,0.0058208304,0.039608637,0.0846557192,0.3763673891,0.1313904104,0.2271692849,0.1156299614,0.1598627593,-0.130592601,0.0084782091,-0.139070811,0.0180836707,0.2487306873,0.0205763277,0.2830157777,0.7223056268,1.1722056839,1.3425028399,1.8883869962,0.0391857389,0.0775402874,0.1189005945,0.031424767,8.0,0.0652085309,0.0649770916,0.0044863118,0.8885688569,0.1162979394,0.0288302683,0.0179878778,0.0035584433,0.0023889219,0.1419558976,0.0792680243,0.0420829149,-0.051746904,0.1185515867,0.45479582,0.1196904525,0.1597254965,0.1542594045,0.3884165661,0.2424417998,0.1355967959,1.497051919,0.0546201477,0.1494740811,-0.0574702,1.5904248771,0.0483612704,0.7616261789,0.6898297239,0.624802611,5.0,-2.858343048,5.7030978327,315.13103065,-5.094237782,0.2955831001,0.0166014997,0.6153162438,0.3868879647,0.1270307856,0.0793189873,0.8132510285,0.0447358404,0.0336086641,0.0079863623,0.0241947701,0.0184980759,0.0310173704,0.3990100209,0.0852146874,0.3306164199,17.099369915,0.2985931392,0.0993598811,-0.591175958,0.4729191816,0.6125359921,0.00428625,2492341.73574226,0.44844395,0.00299199,0.44896318,0.00397188,0.00359325,0.00573748,0.00917969,0.00148251,0.18128155,1.72306483,0.00751413,-0.14738732,0.00735161,0.18739605,0.02024336,0.04180742,0.01653192,0.36947624,0.00524361,0.01222717,1.13287655,0.85808696,0.60044756,1.4295151031,1.3259303696,368,-0.538930548,0.2566988987,-1.233253397,0.2570429167
20051031,20051031,1981.0,01,USA,-0.04142,2005,10,20050930,20050930,841.46791266,25.350000381,841.46791266,0.0240215824,0.0076498088,0.0160486082,0.0340494663,0.0143914635,-0.038273566,-0.093119614,0.060965756,0.1048885733,0.2845466662,-0.009721029,0.0110521264,-0.017383736,0.0085797273,0.0320144025,0.1545408053,0.3845849281,0.107248812,-0.045134108,0.2314178257,0.1036768187,0.024321267,0.0,-0.008497488,0.0428911646,-0.006094705,0.0489858697,0.0093831865,-0.004816623,0.0141998095,-0.002492657,0.002492657,0.0058208304,0.039608637,0.0846557192,0.3763673891,0.1313904104,0.2271692849,0.1156299614,0.1598627593,-0.130592601,0.0084782091,-0.139070811,0.0180836707,0.2487306873,0.0205763277,0.2830157777,0.7223056268,1.1722056839,1.3425028399,1.8883869962,0.0391857389,0.0775402874,0.1189005945,0.031424767,8.0,0.0652085309,0.0649770916,0.0044863118,0.8885688569,0.1162979394,0.0288302683,0.0179878778,0.0035584433,0.0023889219,0.1419558976,0.0792680243,0.0420829149,-0.051746904,0.1185515867,0.45479582,0.1196904525,0.1597254965,0.1542594045,0.3884165661,0.2424417998,0.1355967959,1.497051919,0.0546201477,0.1494740811,-0.0574702,1.5904248771,0.0483612704,0.7616261789,0.6898297239,0.624802611,5.0,-2.858343048,5.7030978327,315.13103065,-5.094237782,0.2955831001,0.0166014997,0.5988107121,0.3765099004,0.1236232522,0.0771912975,0.7914360013,0.0435358253,0.0327071295,0.0077721324,0.0235457582,0.0180018748,0.0301853459,0.3890737802,0.0830926514,0.3142369437,17.159294798,0.3204472654,-0.046475281,-0.996086381,0.4746638127,0.5999376292,0.00431452,2542818.43812764,0.45448937,0.00307137,0.45214346,0.00390932,0.00366372,0.0045439,0.01109114,1.27428028,-0.10460134,2.10648741,0.00963246,0.06532389,0.01025929,0.38004421,0.02198827,0.0361135,0.01479975,0.52943542,0.00526444,0.01175048,1.08144957,0.88173914,0.60843026,1.4166100099,1.4811064901,369,-0.532938714,0.2562057685,-1.227903504,0.2760544017
20051130,20051130,1981.0,01,USA,0.057202,2005,11,20051031,20051031,806.61417467,24.299999237,806.61417467,0.0250595531,0.0076498088,0.0160486091,-0.041420162,0.018769947,0.0308168854,-0.078968598,0.1078606184,0.1140181244,0.300060861,0.1771233231,-0.008815463,0.0533573255,0.0024172998,0.0304444624,0.1305122783,0.418579235,0.0394397408,-0.03915429,0.2618899285,0.2687396909,0.0091589049,0.0,-0.008497488,0.0270897742,-0.011637682,0.0387274563,0.0139770035,-0.004741496,0.0187184997,-0.000970298,0.0009702979,0.0042956305,0.0421529614,0.0861872121,0.3779820947,0.1387584901,0.2302648014,0.118270672,0.1665110073,-0.128151995,0.0079902263,-0.136142221,0.0131834806,0.1772145215,0.0141537785,0.1902574257,0.7129715835,1.1848004997,1.3567855726,1.9319688303,0.0391857389,0.0848814233,0.1189005945,0.031424767,8.0,0.0591948672,0.0480367552,0.0064044928,0.6211068613,0.0891719356,0.0306545336,0.0192744304,0.0021194855,0.0019246765,0.1419558976,0.1280789768,0.0393651787,-0.051782609,0.124719928,0.045377088,-0.167913545,0.1721520038,0.1565677623,0.3894895563,0.2468044943,0.1429829177,1.5000132013,0.0612092976,0.1519419707,-0.042134291,1.5898138896,0.0470347345,0.7685774196,0.5284221417,0.6272096624,5.0,-2.873184936,5.5747420814,326.89770461,-5.313102031,0.2374677708,0.0120669457,0.6311840481,0.3970175705,0.1289650037,0.0753892033,0.8437305237,0.0469555349,0.0386343322,0.0128872022,0.0255847227,0.019486392,0.0314896524,0.4061046605,0.0891801292,0.320423404,16.981055599,0.322636398,0.0193398548,-0.378453276,0.4889949606,0.6222501117,0.00223792,2768029.86857146,0.54783575,0.00337578,0.55398231,0.00368366,0.00357472,0.00483099,0.01497548,0.9167661,-0.14964242,1.19778555,0.01388729,1.29310073,0.01483178,0.71671563,0.02684897,0.03360268,0.02054772,0.36058917,0.00517077,0.01218681,1.12157989,0.84521736,0.61385033,1.4232793094,1.7413623984,370,-0.515726358,0.3090263293,-1.205754663,0.2760637884
