rf,year,month,ret
0.00160,2005,1,-0.025290448
0.00160,2005,2,0.0189033836
0.00210,2005,3,-0.019117647
0.00210,2005,4,-0.02010859
0.00240,2005,5,0.0299520249
0.00230,2005,6,-0.000142677
0.00240,2005,7,0.0359682036
0.00300,2005,8,-0.011222026
0.00290,2005,9,0.00694894
0.00270,2005,10,-0.017740741
0.00310,2005,11,0.0351861211
0.00320,2005,12,-0.000952396
0.00350,2006,1,0.0254668386
0.00340,2006,2,0.0004530967
0.00370,2006,3,0.0110646073
0.00360,2006,4,0.012186928
0.00430,2006,5,-0.030916901
0.00400,2006,6,0.000086608
0.00400,2006,7,0.0050858133
0.00420,2006,8,0.0212742625
0.00410,2006,9,0.0245662745
0.00410,2006,10,0.0315080286
0.00420,2006,11,0.0164666096
0.00400,2006,12,0.0126157515
0.00440,2007,1,0.0140590848
0.00380,2007,2,-0.021846145
0.00430,2007,3,0.0099799548
0.00440,2007,4,0.0432906831
0.00410,2007,5,0.0325492286
0.00400,2007,6,-0.01781631
0.00400,2007,7,-0.031981907
0.00420,2007,8,0.0128635923
0.00320,2007,9,0.0357940013
0.00320,2007,10,0.014822335
0.00340,2007,11,-0.044043424
0.00270,2007,12,-0.008628489
0.00210,2008,1,-0.061163475
0.00130,2008,2,-0.034761162
0.00170,2008,3,-0.005959583
0.00180,2008,4,0.0475466848
0.00180,2008,5,0.0106741532
0.00170,2008,6,-0.085962382
0.00150,2008,7,-0.009859375
0.00130,2008,8,0.0121905032
0.00150,2008,9,-0.090791453
0.00080,2008,10,-0.169424534
0.00030,2008,11,-0.074849032
0.00000,2008,12,0.0078215657
0.00000,2009,1,-0.085657348
0.00010,2009,2,-0.109931225
0.00020,2009,3,0.0854045083
0.00010,2009,4,0.0939250755
0.00000,2009,5,0.0530814267
0.00010,2009,6,0.0001958352
0.00010,2009,7,0.074141757
0.00010,2009,8,0.0335601734
0.00010,2009,9,0.0357233838
0.00000,2009,10,-0.019761986
0.00000,2009,11,0.057363997
0.00010,2009,12,0.0177705977
0.00000,2010,1,-0.036974262
0.00000,2010,2,0.0285136935
0.00010,2010,3,0.0587963676
0.00010,2010,4,0.0147593272
0.00010,2010,5,-0.081975916
0.00010,2010,6,-0.053882377
0.00010,2010,7,0.0687778328
0.00010,2010,8,-0.047449165
0.00010,2010,9,0.087551104
0.00010,2010,10,0.0368559411
0.00010,2010,11,-0.002290283
0.00010,2010,12,0.065300072
0.00010,2011,1,0.0226455902
0.00010,2011,2,0.0319565826
0.00010,2011,3,-0.001047302
0.00000,2011,4,0.0284953576
0.00000,2011,5,-0.013500928
0.00000,2011,6,-0.018257508
0.00000,2011,7,-0.021474437
0.00010,2011,8,-0.056791098
0.00000,2011,9,-0.071762013
0.00000,2011,10,0.1077230383
0.00000,2011,11,-0.005058645
0.00000,2011,12,0.0085327517
0.00000,2012,1,0.0435830153
0.00000,2012,2,0.0405894499
0.00000,2012,3,0.0313323765
0.00000,2012,4,-0.007497497
0.00010,2012,5,-0.062650671
0.00000,2012,6,0.0395549213
0.00000,2012,7,0.012597639
0.00010,2012,8,0.0197633617
0.00010,2012,9,0.0242360904
0.00010,2012,10,-0.019790811
0.00010,2012,11,0.0028481424
0.00010,2012,12,0.0070683105
0.00000,2013,1,0.0504280636
0.00000,2013,2,0.011060603
0.00000,2013,3,0.0359877994
0.00000,2013,4,0.018085764
0.00000,2013,5,0.0207627835
0.00000,2013,6,-0.014999325
0.00000,2013,7,0.0494621112
0.00000,2013,8,-0.031298013
0.00000,2013,9,0.0297494749
0.00000,2013,10,0.0445957599
0.00000,2013,11,0.0280494609
0.00000,2013,12,0.0235628333
0.00000,2014,1,-0.035582895
0.00000,2014,2,0.0431170376
0.00000,2014,3,0.0069321574
0.00000,2014,4,0.0062007969
0.00000,2014,5,0.0210302821
0.00000,2014,6,0.0190583134
0.00000,2014,7,-0.015079863
0.00000,2014,8,0.0376553217
0.00000,2014,9,-0.015513859
0.00000,2014,10,0.0232014562
0.00000,2014,11,0.0245335844
0.00000,2014,12,-0.004188512
0.00000,2015,1,-0.031040847
0.00000,2015,2,0.0548925057
0.00000,2015,3,-0.017396056
0.00000,2015,4,0.0085207627
0.00000,2015,5,0.0104914385
0.00000,2015,6,-0.021011773
0.00000,2015,7,0.0197420399
0.00000,2015,8,-0.062580805
0.00000,2015,9,-0.02644282
0.00000,2015,10,0.0829830784
0.00000,2015,11,0.0005049631
0.00010,2015,12,-0.017530198
0.00010,2016,1,-0.050735344
0.00020,2016,2,-0.004128355
0.00020,2016,3,0.0659911087
0.00010,2016,4,0.0026993698
0.00010,2016,5,0.0153294921
0.00020,2016,6,0.0009060736
0.00020,2016,7,0.0356098072
0.00020,2016,8,-0.001219176
0.00020,2016,9,-0.001234483
0.00020,2016,10,-0.019425625
0.00010,2016,11,0.0341744468
0.00030,2016,12,0.018200754
0.00040,2017,1,0.0178843414
0.00040,2017,2,0.0371982605
0.00030,2017,3,-0.00038923
0.00050,2017,4,0.0090912169
0.00060,2017,5,0.01157621
0.00060,2017,6,0.004813832
0.00070,2017,7,0.0193487689
0.00090,2017,8,0.0005464923
0.00090,2017,9,0.0193028948
0.00090,2017,10,0.0221881748
0.00080,2017,11,0.0280826014
0.00090,2017,12,0.0098316198
0.00110,2018,1,0.0561787246
0.00110,2018,2,-0.03894738
0.00120,2018,3,-0.026884514
0.00140,2018,4,0.002718801
0.00140,2018,5,0.0216083533
0.00140,2018,6,0.0048424002
0.00160,2018,7,0.0360215865
0.00160,2018,8,0.0302632186
0.00150,2018,9,0.0042943009
0.00190,2018,10,-0.069403359
0.00180,2018,11,0.0178593818
0.00190,2018,12,-0.091776956
0.00210,2019,1,0.0786844047
0.00180,2019,2,0.0297289301
0.00190,2019,3,0.0179242878
0.00210,2019,4,0.0393134349
0.00210,2019,5,-0.065777726
0.00180,2019,6,0.0689301832
0.00190,2019,7,0.0131281954
0.00160,2019,8,-0.018091653
0.00180,2019,9,0.0171811677
0.00150,2019,10,0.0204317475
0.00120,2019,11,0.0340470641
0.00140,2019,12,0.0285898032
0.00130,2020,1,-0.00162809
0.00120,2020,2,-0.084110469
0.00120,2020,3,-0.125119321
0.00000,2020,4,0.1268441029
0.00010,2020,5,0.045281775
0.00010,2020,6,0.0183884033
0.00010,2020,7,0.055101297
0.00010,2020,8,0.0700646873
0.00010,2020,9,-0.039227954
0.00010,2020,10,-0.027665775
0.00010,2020,11,0.1075456581
0.00010,2020,12,0.0371214067
0.00000,2021,1,-0.01113664
0.00000,2021,2,0.026091475
0.00000,2021,3,0.042438634
0.00000,2021,4,0.0524253126
0.00000,2021,5,0.0054865026
0.00000,2021,6,0.0222139763
0.00000,2021,7,0.0227481094
0.00000,2021,8,0.0289903214
0.00000,2021,9,-0.04756914
0.00000,2021,10,0.0691438733
0.00000,2021,11,-0.008333731
0.00010,2021,12,0.043612875
0.00000,2022,1,-0.052585089
0.00000,2022,2,-0.031360521
0.00000,2022,3,0.0357732388
0.00000,2022,4,-0.087956719
0.00030,2022,5,0.0000532439
0.00060,2022,6,-0.083919993
0.00080,2022,7,0.0911163476
0.00190,2022,8,-0.042440119
0.00190,2022,9,-0.093395702
0.00230,2022,10,0.0798634546
0.00290,2022,11,0.0537528603
0.00330,2022,12,-0.058971449
0.00350,2023,1,0.0617528324
0.00340,2023,2,-0.026112447
0.00360,2023,3,0.0350515724
0.00350,2023,4,0.0146423609
